,장소,lat,lng
0,충청남도 공주시 산성동(중앙귀금속 부근),36.458435308144,127.124723622698
1,충청남도 논산시 화지동(대화로51 부근),36.207532996352,127.082648275099
2,충청남도 당진시 읍내리(당진분식입구 부근),36.892076716568,126.629385952001
3,충청남도 보령시 동대동(녹십초키토산 부근),36.342855941549,126.603716273688
4,충청남도 보령시 대천동(경남사거리 부근),36.349879867962,126.594405996341
5,충청남도 부여군 부여읍(코롱얼음 부근),36.281671366541,126.909747894751
6,충청남도 서산시 동문동(아시아마트 부근),36.780848414823,126.457738983768
7,충청남도 서산시 동문동(고운로147 부근),36.78334666132,126.451857689182
8,충청남도 서천군 서천읍(서천읍군사리68011 부근),36.075234409142,126.687493994853
9,충청남도 서천군 서천읍(정금당입구 부근),36.077188365252,126.691037372278
10,충청남도 아산시 온천동(A플러스 부근),36.78006655323,127.005042191945
11,충청남도 예산군 예산읍(민속떡집 부근),36.675916571593,126.850798287012
12,충청남도 예산군 광시면(예당로169 부근),36.5488770992,126.775304401078
13,충청남도 천안시 동남구 영성동(중앙교 부근),36.800634084396,127.15323264687
14,충청남도 천안시 동남구 대흥동(서울꽃화원 부근),36.810598654505,127.148616471774
15,충청남도 천안시 서북구 성정동(맨하탄 부근),36.812182510815,127.141350317464
16,충청남도 천안시 서북구 쌍용동(신구빌딩 부근),36.803463127622,127.127375158638
17,충청남도 청양군 청양읍(제비다방 부근),36.450132223824,126.803013247165
18,충청남도 태안군 태안읍(중앙로91 부근),36.753205554694,126.29864016881
19,충청남도 홍성군 홍성읍(장군상오거리 부근),36.601015499866,126.66887650145
