,장소,lat,lng
0,제주특별자치도 제주시 이도일동(스타벅스제주칠성점 부근),33.512233365978,126.525242465269
1,제주특별자치도 제주시 삼도일동(오라교 부근),33.500013039871,126.515328585447
2,제주특별자치도 제주시 일도이동(제주일도대림2차아파트 부근),33.50021902329,126.549327360071
3,제주특별자치도 제주시 노형동(제주양돈농협 부근),33.488325647512,126.477135194735
4,제주특별자치도 제주시 일도일동(동문로터리 부근),33.512804350042,126.528852200969
5,제주특별자치도 제주시 일도이동(호남석재사거리 부근),33.508198240158,126.533649947388
6,제주특별자치도 제주시 용담이동(용문로100 부근),33.505919018149,126.508640934433
7,제주특별자치도 제주시 이도이동(영도갤럭시타운 부근),33.496531829881,126.532139396617
8,제주특별자치도 서귀포시 서귀동(중앙로타리 부근),33.252987954531,126.561120256396
9,제주특별자치도 서귀포시 동홍동(동홍중앙로2 부근),33.251949532546,126.574322615198
